building;floor;room;location
AW;1;120;AW_corridor
AW;1;121;AW_corridor
AW;1;125;AW_corridor
AW;1;126;AW_corridor
H;1;301;H_1_corridor
H;1;302;H_1_corridor
H;1;308;H_1_corridor
H;1;309;H_1_corridor
H;2;111;H_2_corridor
H;2;213;H_2_corridor
H;2;214;H_2_corridor
H;2;215;H_2_corridor
H;3;242;H_3_corridor
H;3;244;H_3_corridor
J;1;106;Janson_corridor
J;1;Janson;Janson_corridor
K;1;105;K_1_corridor
K;3;302;K_3_corridor
K;3;401;K_3_corridor
K;4;201;K_4_corridor
K;4;401;K_4_corridor
K;4;601;K_4_corridor
UA;2;224;UA_2_corridor
UA;2;228;UA_2_corridor
UA;2;220;UA_2_corridor
UB;2;147;UB_2_corridor
UB;2;252A;UB_2_door
UB;4;132;UB_4_corridor
UB;4;136;UB_4_corridor
UB;4;228;UB_4_corridor
UB;5;132;UB_5_corridor
UB;5;230;UB_5_corridor
UD;2;119;UD_2_corridor
UD;2;120;UD_2_corridor
UD;2;208;UD_2_corridor
UD;2;218A;UD_2_corridor
